ST	arcC	aroE	glpF	gmk	pta	tpi	yqiL
1	1	1	1	1	1	1	1
5	1	4	1	4	12	1	10
7	5	4	1	4	4	6	3
8	3	3	1	1	4	4	3
9	3	3	1	1	1	1	10
12	1	3	1	8	11	5	11
15	13	13	1	1	12	11	13
22	7	6	1	5	8	8	6
25	4	1	4	1	5	5	4
27	3	3	1	1	1	22	10
30	2	2	2	2	6	3	2
36	2	2	2	2	3	3	2
45	10	14	8	6	10	3	2
49	14	16	11	2	13	12	14
50	16	16	12	2	13	13	15
59	19	23	15	2	19	20	15
71	18	1	1	1	1	5	3
72	1	4	1	8	4	4	3
80	1	3	1	14	11	51	10
87	19	23	15	2	41	20	15
88	22	1	14	23	12	4	31
93	6	64	44	2	43	55	51
97	3	1	1	1	1	5	3
105	1	4	1	4	12	1	28
113	3	3	1	1	4	62	3
121	6	5	6	2	7	14	5
133	6	66	46	2	7	50	18
151	6	72	12	43	49	67	59
152	46	75	49	44	13	68	60
188	3	1	1	8	1	1	1
225	1	4	1	4	12	25	10
228	1	4	1	4	12	24	29
239	2	3	1	1	4	4	3
240	2	3	1	1	21	4	3
241	2	3	1	1	4	4	30
243	2	2	5	2	6	3	2
247	3	3	1	12	4	4	16
250	3	3	1	1	4	4	16
254	3	32	1	1	4	4	3
338	19	23	15	48	19	20	15
350	6	79	51	47	7	70	61
351	6	72	50	43	52	67	59
398	3	35	19	2	20	26	39
425	18	33	6	20	7	50	48
433	2	2	2	2	6	3	72
464	3	1	1	1	29	5	3
507	3	3	74	58	4	4	3
508	10	40	8	6	10	3	2
582	13	13	1	1	12	10	13
612	3	3	1	1	4	88	83
632	1	4	1	4	86	1	10
700	6	57	45	2	7	95	52
764	1	136	1	4	12	1	10
772	1	1	1	1	22	1	1
923	3	3	1	1	4	4	109
1093	10	53	34	26	26	32	2
1148	1	61	1	8	12	4	10
1159	3	4	1	4	4	44	3
1516	3	3	1	42	4	4	3
1750	3	3	1	1	4	4	183
2011	200	57	45	2	7	14	52
2389	260	4	1	4	12	1	10
2454	3	3	1	1	264	1	10
2490	6	57	45	2	7	14	52
4068	3	35	19	2	20	467	39
4307	6	193	419	2	7	58	52
4618	551	2	2	2	6	3	2
5286	631	4	1	4	12	1	10
5352	393	4	1	4	12	1	10
5354	2	3	457	1	4	4	3
